district,property_type,bedrooms,bathrooms,size_sqm,year_built,has_garage,has_garden,has_swimming_pool,has_security,is_gated_community,distance_to_cbd_km,road_condition,price_usd
Kicukiro,Bungalow,2,2,44,2004,0,1,0,1,0,3.1,Gravel,167000
Huye,Townhouse,2,1,67,1993,0,0,0,0,0,9.5,Dirt,80800
Nyarugenge,Townhouse,5,4,154,2016,0,0,1,0,0,7.1,Gravel,324700
Nyarugenge,Standalone Villa,2,2,74,2012,0,0,0,0,0,1.8,Dirt,281800
Gasabo,Standalone Villa,2,2,48,2018,1,0,1,1,0,28.0,Tarmac,295400
Gasabo,Apartment,4,4,120,1998,0,0,0,1,0,4.5,Gravel,231600
Gasabo,Townhouse,3,3,69,1996,0,1,0,0,0,6.7,Tarmac,226600
Rubavu,Bungalow,4,4,130,1993,0,1,0,1,0,9.7,Tarmac,146400
Nyarugenge,Townhouse,2,1,67,1994,0,0,0,0,0,7.6,Gravel,208700
Nyarugenge,Apartment,3,3,97,1994,0,1,1,1,1,3.0,Dirt,252500
Gasabo,Apartment,1,1,40,2000,1,0,0,1,1,12.8,Dirt,156600
Huye,Apartment,2,2,66,2017,0,0,0,0,0,0.9,Tarmac,112000
Musanze,Apartment,5,4,174,2005,1,1,0,1,0,6.7,Tarmac,222400
Gasabo,Townhouse,2,2,55,2019,1,1,0,1,0,2.6,Gravel,243800
Gasabo,Bungalow,3,2,92,1993,0,1,0,0,1,7.7,Gravel,232800
Gasabo,Apartment,3,3,73,1991,0,0,0,1,1,2.0,Tarmac,218200
Kicukiro,Apartment,3,2,76,1992,0,0,0,0,0,11.8,Tarmac,173100
Kicukiro,Townhouse,4,3,121,2010,1,1,0,0,1,2.1,Gravel,266700
Kicukiro,Apartment,1,1,46,1995,0,1,0,1,0,17.7,Gravel,135300
Gasabo,Bungalow,3,3,86,2007,1,0,0,1,0,15.8,Tarmac,244900
Nyarugenge,Apartment,5,5,146,1994,1,1,0,1,1,3.6,Gravel,287000
